CustomerId,R_score,F_score,M_score,Cluster_Label,Customer_Category
Cust-00001,39.2811,68.422,16.376,1,6. Dormant
Cust-00002,54.57566,79.162,89.999,2,3. Need Attention
Cust-00003,84.23512,99.273,97.776,5,1. Loyal
Cust-00004,41.20843,79.162,60.142,3,4. At Risk
Cust-00005,95.658,96.329,97.44,5,1. Loyal
Cust-00006,95.658,99.404,99.466,5,1. Loyal
Cust-00007,46.78428,89.751,80.248,2,3. Need Attention
Cust-00008,48.10319,88.83,73.898,2,3. Need Attention
Cust-00009,98.05966,99.982,99.992,5,1. Loyal
Cust-00010,84.23512,93.708,87.379,5,1. Loyal
Cust-00011,98.05966,98.884,98.41,5,1. Loyal
Cust-00012,47.14153,72.023,47.412,3,4. At Risk
Cust-00013,96.74475,99.772,99.746,5,1. Loyal
Cust-00014,95.658,99.734,99.936,5,1. Loyal
Cust-00015,95.658,99.2,98.664,5,1. Loyal
Cust-00016,96.74475,98.498,99.298,5,1. Loyal
Cust-00017,41.93093,79.162,88.486,2,3. Need Attention
Cust-00018,48.35236,63.962,48.737,3,4. At Risk
Cust-00019,66.04457,89.302,89.774,2,3. Need Attention
Cust-00020,66.59895,84.536,93.5,2,3. Need Attention
Cust-00021,94.66732,94.729,93.058,5,1. Loyal
Cust-00022,92.89009,96.469,96.576,5,1. Loyal
Cust-00023,86.45966,84.536,85.812,5,1. Loyal
Cust-00024,93.74268,95.601,91.984,5,1. Loyal
Cust-00025,99.21046,91.386,96.032,5,1. Loyal
Cust-00026,72.53905,98.617,96.962,5,1. Loyal
Cust-00027,86.45966,93.467,93.05,5,1. Loyal
Cust-00028,92.09054,93.211,95.672,5,1. Loyal
Cust-00029,49.01982,84.536,90.784,2,3. Need Attention
Cust-00030,88.1108,98.365,98.43,5,1. Loyal
Cust-00031,89.7049,97.827,95.53,5,1. Loyal
Cust-00032,89.7049,58.376,39.9,4,2. Potential Loyal
Cust-00033,54.80181,68.422,77.291,2,3. Need Attention
Cust-00034,92.09054,99.168,99.322,5,1. Loyal
Cust-00035,99.45562,98.701,98.744,5,1. Loyal
Cust-00036,75.78429,88.83,87.416,5,1. Loyal
Cust-00037,48.10319,98.134,97.902,2,3. Need Attention
Cust-00038,74.60448,80.859,82.407,5,1. Loyal
Cust-00039,82.82415,94.729,93.713,5,1. Loyal
Cust-00040,43.88528,86.274,90.45,2,3. Need Attention
Cust-00041,70.00731,95.82,88.632,5,1. Loyal
Cust-00042,68.86051,95.904,91.91,5,1. Loyal
Cust-00043,88.90935,99.458,99.356,5,1. Loyal
Cust-00044,98.05966,98.987,98.33,5,1. Loyal
Cust-00045,60.61983,68.422,81.83,2,3. Need Attention
Cust-00046,99.68478,99.688,99.656,5,1. Loyal
Cust-00047,66.33477,93.211,91.368,5,1. Loyal
Cust-00048,66.87014,90.146,88.992,2,3. Need Attention
Cust-00049,20.64725,74.91,49.304,3,4. At Risk
Cust-00050,87.27922,58.376,55.272,4,2. Potential Loyal
Cust-00051,66.33477,84.536,84.806,2,3. Need Attention
Cust-00052,54.80181,95.13,93.34,2,3. Need Attention
Cust-00053,60.19453,98.796,98.668,2,3. Need Attention
Cust-00054,96.74475,93.708,91.129,5,1. Loyal
Cust-00055,50.13559,92.309,95.318,2,3. Need Attention
Cust-00056,95.658,99.706,99.652,5,1. Loyal
Cust-00057,82.14568,97.048,92.068,5,1. Loyal
Cust-00058,64.6406,80.859,77.43,2,3. Need Attention
Cust-00059,92.09054,99.458,99.692,5,1. Loyal
Cust-00060,99.68478,97.277,94.656,5,1. Loyal
Cust-00061,96.74475,96.694,90.814,5,1. Loyal
Cust-00062,98.05966,99.902,99.756,5,1. Loyal
Cust-00063,62.98346,93.467,92.876,2,3. Need Attention
Cust-00064,95.658,97.859,98.292,5,1. Loyal
Cust-00065,91.31201,95.259,95.794,5,1. Loyal
Cust-00066,78.6913,96.329,96.982,5,1. Loyal
Cust-00067,92.89009,99.681,99.576,5,1. Loyal
Cust-00068,64.11224,88.323,83.322,2,3. Need Attention
Cust-00069,87.27922,91.877,94.97,5,1. Loyal
Cust-00070,35.06419,68.422,73.163,3,4. At Risk
Cust-00071,55.09502,91.386,92.422,2,3. Need Attention
Cust-00072,89.7049,90.146,94.179,5,1. Loyal
Cust-00073,64.91379,96.081,97.366,5,1. Loyal
Cust-00074,10.80345,79.162,58.31,3,4. At Risk
Cust-00075,13.22513,30.522,23.385,0,7. Lost
Cust-00076,96.74475,99.758,99.79,5,1. Loyal
Cust-00077,99.21046,99.98,99.984,5,1. Loyal
Cust-00078,10.82847,16.241,56.822,6,5. One-Time Buy
Cust-00079,18.18355,41.855,21.469,0,7. Lost
Cust-00080,98.05966,99.72,99.764,5,1. Loyal
Cust-00081,10.2941,16.241,52.074,6,5. One-Time Buy
Cust-00082,98.05966,99.954,99.928,5,1. Loyal
Cust-00083,41.78783,30.522,28.197,1,6. Dormant
Cust-00084,98.93226,98.796,98.93,5,1. Loyal
Cust-00085,61.06714,93.467,85.881,2,3. Need Attention
Cust-00086,41.50264,74.91,61.128,3,4. At Risk
Cust-00087,41.78783,51.272,67.47,3,4. At Risk
Cust-00088,12.77381,41.855,66.892,6,5. One-Time Buy
Cust-00089,95.658,88.323,65.02,5,1. Loyal
Cust-00090,79.1346,99.645,99.904,5,1. Loyal
Cust-00091,30.99939,72.023,73.102,3,4. At Risk
Cust-00092,88.90935,96.552,94.9,5,1. Loyal
Cust-00093,93.74268,98.467,98.38,5,1. Loyal
Cust-00094,42.93763,91.877,93.816,2,3. Need Attention
Cust-00095,57.55271,93.467,93.166,2,3. Need Attention
Cust-00096,62.40806,91.877,91.14,2,3. Need Attention
Cust-00097,95.658,99.603,99.69,5,1. Loyal
Cust-00098,98.05966,99.337,99.264,5,1. Loyal
Cust-00099,78.6913,96.623,97.078,5,1. Loyal
Cust-00100,44.22852,58.376,59.655,3,4. At Risk
Cust-00101,47.55681,51.272,69.442,3,4. At Risk
Cust-00102,94.66732,97.277,98.732,5,1. Loyal
Cust-00103,68.50627,89.302,87.8,2,3. Need Attention
Cust-00104,88.90935,98.866,99.15,5,1. Loyal
Cust-00105,48.57752,41.855,60.737,3,4. At Risk
Cust-00106,42.7515,30.522,69.289,3,4. At Risk
Cust-00107,41.36254,68.422,67.494,3,4. At Risk
Cust-00108,45.6565,51.272,54.282,3,4. At Risk
Cust-00109,93.74268,85.466,92.514,5,1. Loyal
Cust-00110,42.7515,51.272,32.49,1,6. Dormant
Cust-00111,78.6913,96.623,97.882,5,1. Loyal
Cust-00112,61.06714,58.376,49.012,4,2. Potential Loyal
Cust-00113,67.14133,79.162,79.614,2,3. Need Attention
Cust-00114,64.38242,82.337,87.762,2,3. Need Attention
Cust-00115,45.86365,51.272,51.584,3,4. At Risk
Cust-00116,98.05966,96.257,97.726,5,1. Loyal
Cust-00117,81.51625,99.433,99.596,5,1. Loyal
Cust-00118,99.21046,88.83,89.134,5,1. Loyal
Cust-00119,37.5389,68.422,51.046,3,4. At Risk
Cust-00120,98.05966,99.612,99.59,5,1. Loyal
Cust-00121,11.46091,41.855,21.341,0,7. Lost
Cust-00122,45.6565,83.516,85.651,2,3. Need Attention
Cust-00123,96.74475,99.824,99.924,5,1. Loyal
Cust-00124,98.05966,92.309,85.896,5,1. Loyal
Cust-00125,34.87506,41.855,53.654,3,4. At Risk
Cust-00126,100.0,99.994,99.996,5,1. Loyal
Cust-00127,88.1108,95.485,96.356,5,1. Loyal
Cust-00128,44.41665,98.334,95.806,2,3. Need Attention
Cust-00129,96.74475,99.384,98.978,5,1. Loyal
Cust-00130,39.78445,63.962,81.275,2,3. Need Attention
Cust-00131,48.57752,58.376,73.629,3,4. At Risk
Cust-00132,30.46402,93.211,93.863,2,3. Need Attention
Cust-00133,91.31201,95.485,93.228,5,1. Loyal
Cust-00134,29.45432,30.522,41.84,6,5. One-Time Buy
Cust-00135,61.06714,41.855,70.551,3,4. At Risk
Cust-00136,64.91379,94.428,91.284,2,3. Need Attention
Cust-00137,98.05966,99.211,99.462,5,1. Loyal
Cust-00138,84.97263,88.323,97.033,5,1. Loyal
Cust-00139,27.40491,58.376,83.608,3,4. At Risk
Cust-00140,91.31201,94.428,93.148,5,1. Loyal
Cust-00141,88.1108,63.962,62.209,4,2. Potential Loyal
Cust-00142,98.05966,99.637,99.554,5,1. Loyal
Cust-00143,96.74475,99.283,99.304,5,1. Loyal
Cust-00144,92.89009,96.856,97.81,5,1. Loyal
Cust-00145,91.31201,99.858,99.932,5,1. Loyal
Cust-00146,94.66732,99.593,99.374,5,1. Loyal
Cust-00147,61.55647,72.023,82.022,2,3. Need Attention
Cust-00148,98.05966,99.806,99.658,5,1. Loyal
Cust-00149,41.78783,63.962,31.0,3,4. At Risk
Cust-00150,96.74475,98.943,99.084,5,1. Loyal
Cust-00151,98.05966,99.862,99.948,5,1. Loyal
Cust-00152,65.18398,63.962,6.247,1,6. Dormant
Cust-00153,51.96886,95.904,97.924,2,3. Need Attention
Cust-00154,10.51225,16.241,5.206,0,7. Lost
Cust-00155,56.58004,86.274,74.812,2,3. Need Attention
Cust-00156,80.06625,85.466,42.336,4,2. Potential Loyal
Cust-00157,99.68478,99.324,99.578,5,1. Loyal
Cust-00158,99.21046,99.876,99.922,5,1. Loyal
Cust-00159,56.28684,74.91,83.784,2,3. Need Attention
Cust-00160,63.54985,68.422,86.314,2,3. Need Attention
Cust-00161,43.13276,51.272,40.245,3,4. At Risk
Cust-00162,39.2811,51.272,15.052,1,6. Dormant
Cust-00163,75.78429,91.386,94.508,5,1. Loyal
Cust-00164,99.86491,99.908,99.926,5,1. Loyal
Cust-00165,64.6406,72.023,72.736,2,3. Need Attention
Cust-00166,76.3707,68.422,79.394,2,3. Need Attention
Cust-00167,73.0364,96.169,96.948,5,1. Loyal
Cust-00168,55.38622,94.871,95.172,2,3. Need Attention
Cust-00169,99.21046,99.916,99.968,5,1. Loyal
Cust-00170,54.40654,68.422,56.293,3,4. At Risk
Cust-00171,98.05966,99.912,99.868,5,1. Loyal
Cust-00172,77.66159,91.877,88.928,5,1. Loyal
