,CustomerId,Recency,Frequency,Monetary,R_score,F_score,M_score
0,Cust-00001,172,8,2965,39.2811,68.422,16.376
1,Cust-00002,97,12,45470,54.57566,79.162,89.999
2,Cust-00003,22,240,147312,84.23512,99.273,97.776
3,Cust-00004,163,12,14433,41.20843,79.162,60.142
4,Cust-00005,8,56,131280,95.658,96.329,97.44
5,Cust-00006,8,283,412711,95.658,99.404,99.466
6,Cust-00007,132,24,27490,46.78428,89.751,80.248
7,Cust-00008,124,22,21860,48.10319,88.83,73.898
8,Cust-00009,6,2645,4033110,98.05966,99.982,99.992
9,Cust-00010,22,35,38464,84.23512,93.708,87.379
10,Cust-00011,6,160,186002,98.05966,98.884,98.41
11,Cust-00012,130,9,9882,47.14153,72.023,47.412
12,Cust-00013,7,597,780706,96.74475,99.772,99.746
13,Cust-00014,8,539,1668041,95.658,99.734,99.936
14,Cust-00015,8,217,209565,95.658,99.2,98.664
15,Cust-00016,7,126,340181,96.74475,98.498,99.298
16,Cust-00017,158,12,41124,41.93093,79.162,88.486
17,Cust-00018,123,7,10282,48.35236,63.962,48.737
18,Cust-00019,62,23,44735,66.04457,89.302,89.774
19,Cust-00020,60,16,62791,66.59895,84.536,93.5
20,Cust-00021,9,41,59779,94.66732,94.729,93.058
21,Cust-00022,11,58,103886,92.89009,96.469,96.576
22,Cust-00023,19,16,35303,86.45966,84.536,85.812
23,Cust-00024,10,48,53771,93.74268,95.601,91.984
24,Cust-00025,4,28,91865,99.21046,91.386,96.032
25,Cust-00026,43,134,114503,72.53905,98.617,96.962
26,Cust-00027,19,34,59754,86.45966,93.467,93.05
27,Cust-00028,12,33,86497,92.09054,93.211,95.672
28,Cust-00029,120,16,48271,49.01982,84.536,90.784
29,Cust-00030,17,116,187248,88.1108,98.365,98.43
30,Cust-00031,15,90,83995,89.7049,97.827,95.53
31,Cust-00032,15,6,7799,89.7049,58.376,39.9
32,Cust-00033,96,8,24623,54.80181,68.422,77.291
33,Cust-00034,12,210,348415,92.09054,99.168,99.322
34,Cust-00035,3,141,218627,99.45562,98.701,98.744
35,Cust-00036,37,22,38531,75.78429,88.83,87.416
36,Cust-00037,124,102,153532,48.10319,98.134,97.902
37,Cust-00038,39,13,30116,74.60448,80.859,82.407
38,Cust-00039,24,41,64403,82.82415,94.729,93.713
39,Cust-00040,146,18,47002,43.88528,86.274,90.45
40,Cust-00041,49,50,41431,70.00731,95.82,88.632
41,Cust-00042,52,51,53378,68.86051,95.904,91.91
42,Cust-00043,16,307,360355,88.90935,99.458,99.356
43,Cust-00044,6,173,181106,98.05966,98.987,98.33
44,Cust-00045,79,8,29332,60.61983,68.422,81.83
45,Cust-00046,2,484,613977,99.68478,99.688,99.656
46,Cust-00047,61,33,50714,66.33477,93.211,91.368
47,Cust-00048,59,25,42387,66.87014,90.146,88.992
48,Cust-00049,287,10,10465,20.64725,74.91,49.304
49,Cust-00050,18,6,12551,87.27922,58.376,55.272
50,Cust-00051,61,16,33606,66.33477,84.536,84.806
51,Cust-00052,96,44,61707,54.80181,95.13,93.34
52,Cust-00053,80,150,209895,60.19453,98.796,98.668
53,Cust-00054,7,35,49758,96.74475,93.708,91.129
54,Cust-00055,116,30,80745,50.13559,92.309,95.318
55,Cust-00056,8,500,608619,95.658,99.706,99.652
56,Cust-00057,25,68,54158,82.14568,97.048,92.068
57,Cust-00058,67,13,24762,64.6406,80.859,77.43
58,Cust-00059,12,307,672097,92.09054,99.458,99.692
59,Cust-00060,2,74,72950,99.68478,97.277,94.656
60,Cust-00061,7,61,48387,96.74475,96.694,90.814
61,Cust-00062,6,1023,809818,98.05966,99.902,99.756
62,Cust-00063,73,34,58656,62.98346,93.467,92.876
63,Cust-00064,8,91,179294,95.658,97.859,98.292
64,Cust-00065,13,45,87913,91.31201,95.259,95.794
65,Cust-00066,32,56,114869,78.6913,96.329,96.982
66,Cust-00067,11,476,507920,92.89009,99.681,99.576
67,Cust-00068,69,21,31435,64.11224,88.323,83.322
68,Cust-00069,18,29,76415,87.27922,91.877,94.97
